from,to,type,price,Pickup-time,Drop-off-time
Kempegowda International Airport Bengaluru,Indiranagar,UberGoPerson4,"₹1,044.69",2023-10-22 22:59:13.226178,23:54
Kempegowda International Airport Bengaluru,Indiranagar,PremierPerson4,"₹1,251.85",2023-10-22 22:59:13.227177,23:53
Kempegowda International Airport Bengaluru,Indiranagar,UberXLPerson6,"₹1,785.33",2023-10-22 22:59:13.227177,23:56
Kempegowda International Airport Bengaluru,Indiranagar,Go SedanPerson4,"₹1,177.72",2023-10-22 22:59:13.228177,23:52
Kempegowda International Airport Bengaluru,Yeshwantpur Bus Stand,UberGoPerson4,₹974.40,2023-10-22 22:59:32.269657,23:45
Kempegowda International Airport Bengaluru,Yeshwantpur Bus Stand,PremierPerson4,"₹1,163.75",2023-10-22 22:59:32.270624,23:43
Kempegowda International Airport Bengaluru,Yeshwantpur Bus Stand,UberXLPerson6,"₹1,643.39",2023-10-22 22:59:32.270624,23:47
Kempegowda International Airport Bengaluru,Yeshwantpur Bus Stand,Go SedanPerson4,"₹1,094.57",2023-10-22 22:59:32.270624,23:43
Kempegowda International Airport Bengaluru,Yelahanka,UberGoPerson4,₹672.03,2023-10-22 22:59:50.805009,23:27
Kempegowda International Airport Bengaluru,Yelahanka,PremierPerson4,₹784.72,2023-10-22 22:59:50.806012,23:25
Kempegowda International Airport Bengaluru,Yelahanka,UberXLPerson6,"₹1,032.80",2023-10-22 22:59:50.806012,23:29
Kempegowda International Airport Bengaluru,Yelahanka,Go SedanPerson4,₹736.83,2023-10-22 22:59:50.806012,23:25
Kempegowda International Airport Bengaluru,Whitefield,UberGoPerson4,₹934.18,2023-10-22 23:00:09.641136,0:07
Kempegowda International Airport Bengaluru,Whitefield,PremierPerson4,"₹1,142.62",2023-10-22 23:00:09.641136,0:06
Kempegowda International Airport Bengaluru,Whitefield,UberXLPerson6,"₹1,679.91",2023-10-22 23:00:09.642137,0:09
Kempegowda International Airport Bengaluru,Whitefield,Go SedanPerson4,"₹1,068.14",2023-10-22 23:00:09.642137,0:05
Kempegowda International Airport Bengaluru,Vajarahalli,UberGoPerson4,"₹1,473.78",2023-10-22 23:00:28.647227,0:19
Kempegowda International Airport Bengaluru,Vajarahalli,PremierPerson4,"₹1,794.83",2023-10-22 23:00:28.648228,0:18
Kempegowda International Airport Bengaluru,Vajarahalli,UberXLPerson6,"₹2,651.82",2023-10-22 23:00:28.648228,0:21
Kempegowda International Airport Bengaluru,Vajarahalli,Go SedanPerson4,"₹1,685.37",2023-10-22 23:00:28.648228,0:17
Kempegowda International Airport Bengaluru,Electronic City,UberGoPerson4,"₹1,401.31",2023-10-22 23:00:47.288428,0:19
