from,to,type,price,Pickup-time,Drop-off-time
Indiranagar,Kempegowda International Airport Bengaluru,UberXLPerson6,"₹1,593.00",2023-10-22 12:13:57.248885,13:13
Indiranagar,Kempegowda International Airport Bengaluru,Go Sedan 2Person4,₹851.29,2023-10-22 12:13:57.249886,13:11
Yeshwantpur Bus Stand,Kempegowda International Airport Bengaluru,Uber GoPerson4,₹701.34,2023-10-22 12:14:18.594167,12:53
Yeshwantpur Bus Stand,Kempegowda International Airport Bengaluru,PremierPerson4,₹841.72,2023-10-22 12:14:18.595166,12:53
Yeshwantpur Bus Stand,Kempegowda International Airport Bengaluru,UberXLPerson6,"₹1,383.57",2023-10-22 12:14:18.595166,12:54
Yeshwantpur Bus Stand,Kempegowda International Airport Bengaluru,Go Sedan 2Person4,₹748.14,2023-10-22 12:14:18.596166,12:53
Yelahanka,Kempegowda International Airport Bengaluru,Uber GoPerson4,₹432.30,2023-10-22 12:14:39.593638,12:34
Yelahanka,Kempegowda International Airport Bengaluru,PremierPerson4,₹506.50,2023-10-22 12:14:39.594638,12:35
Yelahanka,Kempegowda International Airport Bengaluru,UberXLPerson6,₹792.72,2023-10-22 12:14:39.594638,12:36
Yelahanka,Kempegowda International Airport Bengaluru,Go Sedan 2Person4,₹457.02,2023-10-22 12:14:39.595638,12:34
Whitefield,Kempegowda International Airport Bengaluru,Uber GoPerson4,₹681.19,2023-10-22 12:15:00.564774,13:28
Whitefield,Kempegowda International Airport Bengaluru,PremierPerson4,₹845.00,2023-10-22 12:15:00.565812,13:29
Whitefield,Kempegowda International Airport Bengaluru,UberXLPerson6,"₹1,477.50",2023-10-22 12:15:00.565812,13:30
Whitefield,Kempegowda International Airport Bengaluru,Go Sedan 2Person4,₹735.79,2023-10-22 12:15:00.566812,13:28
Vajarahalli,Kempegowda International Airport Bengaluru,Uber GoPerson4,"₹1,647.71",2023-10-22 12:15:21.616684,13:48
Vajarahalli,Kempegowda International Airport Bengaluru,PremierPerson4,"₹1,973.05",2023-10-22 12:15:21.616684,13:49
