from,to,type,price,Pickup-time,Drop-off-time
Kempegowda International Airport Bengaluru,"Marathahalli, Bengaluru, Karnataka",UberGoPerson4,₹881.76,2023-10-22 18:18:23.442546,19:32
Kempegowda International Airport Bengaluru,"Marathahalli, Bengaluru, Karnataka",PremierPerson4,₹976.92,2023-10-22 18:18:23.442546,19:31
Kempegowda International Airport Bengaluru,"Marathahalli, Bengaluru, Karnataka",UberXLPerson6,"₹1,979.82",2023-10-22 18:18:23.443585,19:35
Kempegowda International Airport Bengaluru,"Marathahalli, Bengaluru, Karnataka",Go SedanPerson4,₹930.55,2023-10-22 18:18:23.443585,19:31
Kempegowda International Airport Bengaluru,Koramangala,UberGoPerson4,₹835.01,2023-10-22 18:18:42.526114,19:41
Kempegowda International Airport Bengaluru,Koramangala,PremierPerson4,₹922.28,2023-10-22 18:18:42.527081,19:40
Kempegowda International Airport Bengaluru,Koramangala,UberXLPerson6,"₹1,841.99",2023-10-22 18:18:42.527081,19:43
Kempegowda International Airport Bengaluru,Koramangala,Go SedanPerson4,₹879.77,2023-10-22 18:18:42.528116,19:40
Kempegowda International Airport Bengaluru,Indiranagar,UberGoPerson4,₹790.90,2023-10-22 18:19:01.825286,19:28
Kempegowda International Airport Bengaluru,Indiranagar,PremierPerson4,₹870.71,2023-10-22 18:19:01.826285,19:26
Kempegowda International Airport Bengaluru,Indiranagar,UberXLPerson6,"₹1,711.97",2023-10-22 18:19:01.826285,19:30
Kempegowda International Airport Bengaluru,Indiranagar,Go SedanPerson4,₹831.83,2023-10-22 18:19:01.826285,19:27
Kempegowda International Airport Bengaluru,Yeshwantpur Bus Stand,UberGoPerson4,₹745.17,2023-10-22 18:19:21.769994,19:13
Kempegowda International Airport Bengaluru,Yeshwantpur Bus Stand,PremierPerson4,₹817.27,2023-10-22 18:19:21.770994,19:11
Kempegowda International Airport Bengaluru,Yeshwantpur Bus Stand,UberXLPerson6,"₹1,577.13",2023-10-22 18:19:21.770994,19:16
Kempegowda International Airport Bengaluru,Yeshwantpur Bus Stand,Go SedanPerson4,₹782.14,2023-10-22 18:19:21.771963,19:11
Kempegowda International Airport Bengaluru,Yelahanka,UberGoPerson4,₹548.41,2023-10-22 18:19:41.558514,18:47
Kempegowda International Airport Bengaluru,Yelahanka,PremierPerson4,₹587.29,2023-10-22 18:19:41.559513,18:45
Kempegowda International Airport Bengaluru,Yelahanka,UberXLPerson6,₹997.06,2023-10-22 18:19:41.559513,18:49
Kempegowda International Airport Bengaluru,Yelahanka,Go SedanPerson4,₹568.36,2023-10-22 18:19:41.559513,18:45
Kempegowda International Airport Bengaluru,Whitefield,UberGoPerson4,₹952.69,2023-10-22 18:20:01.284665,19:44
Kempegowda International Airport Bengaluru,Whitefield,PremierPerson4,"₹1,059.83",2023-10-22 18:20:01.285660,19:41
Kempegowda International Airport Bengaluru,Whitefield,UberXLPerson6,"₹2,188.96",2023-10-22 18:20:01.285660,19:47
Kempegowda International Airport Bengaluru,Whitefield,Go SedanPerson4,"₹1,007.63",2023-10-22 18:20:01.286656,19:41
Kempegowda International Airport Bengaluru,Vajarahalli,UberGoPerson4,"₹1,119.49",2023-10-22 18:20:20.684832,19:57
Kempegowda International Airport Bengaluru,Vajarahalli,PremierPerson4,"₹1,244.15",2023-10-22 18:20:20.684832,19:55
